index,element,atmmass,tore,qn,ussc,gssc,gspc,hspc,gp2c,gppc
0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,H,1.0079,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
2,He,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,Li,6.94,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0
4,Be,9.01218,2.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0
5, B,10.81,3.0,2.0,2.0,1.0,2.0,-1.0,0.0,0.0
6, C,12.011,4.0,2.0,2.0,1.0,4.0,-2.0,1.5,-0.5
7, N,14.0067,5.0,2.0,2.0,1.0,6.0,-3.0,4.5,-1.5
8, O,15.9994,6.0,2.0,2.0,1.0,8.0,-4.0,6.5,-0.5
9, F,18.9984,7.0,2.0,2.0,1.0,10.0,-5.0,10.0,0.0
10,Ne,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,Na,22.98977,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0
12,Mg,24.305,2.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0
13,Al,26.98154,3.0,3.0,2.0,1.0,2.0,-1.0,0.0,0.0
14,Si,28.0855,4.0,3.0,2.0,1.0,4.0,-2.0,1.5,-0.5
15, P,30.97376,5.0,3.0,2.0,1.0,6.0,-3.0,4.5,-1.5
16, S,32.06,6.0,3.0,2.0,1.0,8.0,-4.0,6.5,-0.5
17,Cl,35.453,7.0,3.0,2.0,1.0,10.0,-5.0,10.0,0.0
18,Ar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
