Element,MOPAC_DD,MOPAC_QQ,MOPAC_AM,MOPAC_AD,MOPAC_AQ
0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.4721793,0.4721793,0.4721793
2,0.0,0.0,0.0,0.0,0.0
3,2.0549783,1.7437069,0.2682837,0.2269793,0.2614581
4,1.4373245,1.2196103,0.3307607,0.3356142,0.3846373
5,0.9107622,0.7874223,0.3891951,0.5045152,0.5678856
6,0.8236736,0.7268015,0.4494671,0.6082946,0.6423492
7,0.6433247,0.5675528,0.4994487,0.782084,0.7883498
8,0.4988896,0.4852322,0.5667034,0.9961066,0.9065223
9,0.4145203,0.4909446,0.6218302,1.2088792,0.9449355
10,0.0,0.0,0.0,0.0,0.0
11,0.0,0.0,0.5,0.0,0.0
12,0.0,0.0,0.0,0.0,0.0
13,1.4040443,1.2809154,0.2973172,0.2630229,0.3427832
14,1.1631107,1.3022422,0.3608967,0.3829813,0.3712106
15,1.0452022,0.892366,0.424844,0.3275319,0.4386854
16,0.9004265,1.0036329,0.4331617,0.5907115,0.6454943
17,0.5406286,0.8057208,0.5523705,0.76932,0.6133369
18,0.0,0.0,0.0,0.0,0.0
19,0.0,0.0,0.5,0.0,0.0
20,0.0,0.0,0.0,0.0,0.0
21,0.0,0.0,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,0.0
23,0.0,0.0,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,0.0
25,0.0,0.0,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,0.0
27,0.0,0.0,0.0,0.0,0.0
28,0.0,0.0,0.0,0.0,0.0
29,0.0,0.0,0.0,0.0,0.0
30,1.3581113,1.5457406,0.4336641,0.2317423,0.2621165
31,0.0,0.0,0.0,0.0,0.0
32,1.2472095,1.0698642,0.3737084,0.3180309,0.3485612
33,0.0,0.0,0.0,0.0,0.0
34,0.0,0.0,0.0,0.0,0.0
35,0.8458104,1.0407133,0.5526071,0.6024598,0.5307555
36,0.0,0.0,0.0,0.0,0.0
37,0.0,0.0,0.0,0.0,0.0
38,0.0,0.0,0.0,0.0,0.0
39,0.0,0.0,0.0,0.0,0.0
40,0.0,0.0,0.0,0.0,0.0
41,0.0,0.0,0.0,0.0,0.0
42,0.0,0.0,0.0,0.0,0.0
43,0.0,0.0,0.0,0.0,0.0
44,0.0,0.0,0.0,0.0,0.0
45,0.0,0.0,0.0,0.0,0.0
46,0.0,0.0,0.0,0.0,0.0
47,0.0,0.0,0.0,0.0,0.0
48,0.0,0.0,0.0,0.0,0.0
49,0.0,0.0,0.0,0.0,0.0
50,0.0,0.0,0.0,0.0,0.0
51,0.0,0.0,0.0,0.0,0.0
52,0.0,0.0,0.0,0.0,0.0
53,1.4878778,1.1887388,0.5527544,0.4497523,0.4631775
54,0.0,0.0,0.0,0.0,0.0
55,0.0,0.0,0.0,0.0,0.0
56,0.0,0.0,0.0,0.0,0.0
57,0.0,0.0,0.0,0.0,0.0
58,0.0,0.0,0.0,0.0,0.0
59,0.0,0.0,0.0,0.0,0.0
60,0.0,0.0,0.0,0.0,0.0
61,0.0,0.0,0.0,0.0,0.0
62,0.0,0.0,0.0,0.0,0.0
63,0.0,0.0,0.0,0.0,0.0
64,0.0,0.0,0.0,0.0,0.0
65,0.0,0.0,0.0,0.0,0.0
66,0.0,0.0,0.0,0.0,0.0
67,0.0,0.0,0.0,0.0,0.0
68,0.0,0.0,0.0,0.0,0.0
69,0.0,0.0,0.0,0.0,0.0
70,0.0,0.0,0.0,0.0,0.0
71,0.0,0.0,0.0,0.0,0.0
72,0.0,0.0,0.0,0.0,0.0
73,0.0,0.0,0.0,0.0,0.0
74,0.0,0.0,0.0,0.0,0.0
75,0.0,0.0,0.0,0.0,0.0
76,0.0,0.0,0.0,0.0,0.0
77,0.0,0.0,0.0,0.0,0.0
78,0.0,0.0,0.0,0.0,0.0
79,0.0,0.0,0.0,0.0,0.0
80,1.8750829,1.5424241,0.3969129,0.2926605,0.3360599
81,0.0,0.0,0.0,0.0,0.0
82,0.0,0.0,0.0,0.0,0.0
83,0.0,0.0,0.0,0.0,0.0
84,0.0,0.0,0.0,0.0,0.0
85,0.0,0.0,0.0,0.0,0.0
86,0.0,0.0,0.0,0.0,0.0
87,0.0,0.0,0.0,0.0,0.0
88,0.0,0.0,0.0,0.0,0.0
89,0.0,0.0,0.0,0.0,0.0
90,1.4078712,1.1658281,0.3608967,0.3441817,0.3999442
91,0.8231596,0.8225156,0.4733554,0.5889395,0.5632724
92,0.0,0.0,0.0,0.0,0.0
93,0.0,0.0,0.0,0.0,0.0
94,0.0,0.0,0.0,0.0,0.0
95,0.0,0.0,0.0,0.0,0.0
96,0.0,0.0,0.0,0.0,0.0
97,0.0,0.0,0.0,0.0,0.0
98,0.0,0.0,0.0,0.0,0.0
99,0.0,0.0,0.0,0.0,0.0
100,0.0,0.0,0.0,0.0,0.0
101,0.0,0.0,0.0,0.0,0.0
102,0.0684105,1.0540926,0.4721793,0.9262742,0.2909059
103,0.0,0.0,0.5,0.0,0.0
104,0.0,0.0,0.5,0.0,0.0
105,0.0,0.0,0.5,0.0,0.0
106,0.0,0.0,0.5,0.0,0.0
107,0.0,0.0,0.0,0.0,0.0
