,element,U_ss,U_pp,zeta_s,zeta_p,beta_s,beta_p,beta_pi,beta_sh,beta_ph,alpha_s,alpha_p,alpha_pi,alpha_sh,alpha_ph,fval1,fval2,gval1,gval2,z_sc,f_sc,b_sc,a_sc,eisol,hyf,g_ss,g_sp,g_pp,g_p2,h_sp,dd,qq,am,ad,aq
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,H,-12.48937475,0.00000000,1.38028450,0.00000000,-3.40625426,0.00000000,0.00000000,-3.40625426,0.00000000,0.06556888,0.00000000,0.00000000,0.06556888,0.00000000,0.25711330,1.29097121,0.64932010,0.46314833,0.00000000,0.00000000,0.00000000,0.00000000,-12.48937475,0.00000000,12.8480000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.4721793,0.4721793,0.4721793
2,He,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,Li,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,Be,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,C,-51.23186063,-39.34045880,1.38113662,1.38113662,-7.50866135,-4.13979929,-6.21901456,-6.58983035,-4.53309066,0.09431728,0.05372380,0.10370542,0.10047864,0.05754390,0.48173972,0.88486717,0.18362749,0.99145627,5.16802668,-305.68646337,-9.07185084,0.16985745,-118.67463886,3.48735956,12.2300000,11.4700000,11.0800000,9.8400000,2.4300000,0.6671063,0.5728908,0.4494671,0.6837422,0.7558142
7,N,-73.38299795,-57.70164912,1.29958384,1.29958384,-13.71974340,-8.25662188,-10.06577228,-9.28605650,-9.59598789,0.12110139,0.08742445,0.13827427,0.11512537,0.11625375,0.67114023,0.29297257,0.12275808,0.76190787,6.93980600,-407.39202305,-9.97910210,0.16173024,-207.05594326,3.07689926,13.5900000,12.6600000,12.9800000,11.5900000,3.1400000,0.5906863,0.4791483,0.4994487,0.8196213,0.8858938
8,O,-102.59234481,-78.80113288,1.49880729,1.49880729,-10.44716267,-9.52283396,-10.00369376,-6.12279073,-9.78113133,0.13492482,0.09874026,0.13861427,0.13949313,0.10684454,1.19835125,0.98518300,0.53895482,1.80028762,7.58579774,-514.45812327,-14.16551053,0.34390559,-327.77922114,2.30000268,15.4200000,14.4800000,14.5200000,12.9800000,3.9400000,0.4369227,0.3087891,0.5667034,1.0719202,1.2430674
9,F,-117.89864612,-107.04309769,1.48240692,1.48240692,-3.58269305,-13.71612319,-15.32274646,-7.73941491,-11.60040200,0.25992551,0.12102605,0.20389243,0.74053556,0.13290605,2.32598335,1.29045770,0.66523038,0.02575130,8.71226515,-685.41988599,-9.17960365,0.99971548,-456.64278069,2.03996429,16.9200000,17.2500000,16.7100000,14.9100000,4.8300000,0.5106623,0.3932237,0.6218302,1.0805856,1.0999100
